loss,accuracy,val_loss,val_accuracy
2.387841937175164,0.08,2.359657323360443,0.1
2.360338864876674,0.09923077,2.359994429349899,0.1
2.3523383397322433,0.10461538,2.33519327044487,0.1
2.3361627001028795,0.113076925,2.3607352316379546,0.1
2.437102232529567,0.013846153,2.3600680470466613,0.1
2.3985674280386706,0.06,2.3609829545021057,0.1
2.3416292043832634,0.11692308,2.3608790278434753,0.1
2.3356295072115385,0.11923077,2.3608240246772767,0.1
2.3285192471284133,0.13,2.358295261859894,0.1
2.3410124127681438,0.10769231,2.360019302368164,0.1
2.322477262753707,0.12923077,2.3588385343551637,0.1
2.3127307845995975,0.14692308,2.3520231664180757,0.1
2.302832654806284,0.16153847,2.3547798812389376,0.1
2.2972809369747456,0.16307692,2.357316827774048,0.1
2.2753704336973337,0.18,2.3359642148017885,0.1
2.266665798884172,0.19461538,2.3525795519351957,0.1
2.262168627518874,0.19538462,2.3449306309223177,0.1
2.2810827860465417,0.18,2.355434548854828,0.1
2.251857148683988,0.20692308,2.250107854604721,0.195
2.1936862450379593,0.2623077,2.303977817296982,0.1
2.219252187472123,0.23153846,2.2556521952152253,0.205
2.1753464231124293,0.28538463,2.2321149349212646,0.195
2.1551088186410756,0.30307692,2.2165505409240724,0.2
2.142097990329449,0.32,2.2189124286174775,0.205
2.120632708989657,0.33923078,2.218790906667709,0.225
2.115038458200601,0.3423077,2.2307424664497377,0.2
2.110089714710529,0.3523077,2.1924361526966094,0.265
2.0966058199222273,0.36769232,2.2056792259216307,0.26
2.06968242755303,0.4023077,2.2514853477478027,0.145
2.0523612590936513,0.4323077,2.299297261238098,0.13
2.0570095584942742,0.42461538,2.2683490931987764,0.19
2.123370414513808,0.34384614,2.278006362915039,0.195
2.064067208766937,0.4146154,2.2279078006744384,0.25
2.0557776579490077,0.4176923,2.247320884466171,0.18
1.9986588230499855,0.48692307,2.213992118835449,0.21
1.9880536161936246,0.50076926,2.2019065976142884,0.25
1.9690254853321956,0.52076924,2.2226304829120638,0.19
1.9326796880135169,0.55846155,2.206730365753174,0.24
1.9583547179515546,0.53615385,2.2067953050136566,0.24
1.9473757817195012,0.54615384,2.187843233346939,0.245
1.915765274488009,0.5823077,2.1371748030185698,0.335
1.8896844460414006,0.6107692,2.132556623220444,0.355
1.8496759029535146,0.6492308,2.1526232957839966,0.325
1.819620195718912,0.6861538,2.1212311148643495,0.345
1.8056741182620708,0.69461536,2.110425865650177,0.37
1.8060763386579661,0.6961538,2.105840176343918,0.365
1.793269788301908,0.71153843,2.1445243895053863,0.315
1.7564208388328553,0.74538463,2.1907533764839173,0.215
1.7499315179311312,0.7476923,2.1161790788173676,0.38
1.7321579245420602,0.7623077,2.1014303267002106,0.375
1.723039667422955,0.77384615,2.126265436410904,0.35
1.7138931421133188,0.7815385,2.0400225460529327,0.48
1.6953610374377324,0.7946154,2.0214047372341155,0.51
1.6890889442884005,0.81,2.017615461349487,0.505
1.6671902014659001,0.8269231,1.9990941107273101,0.52
1.6472555197202243,0.85846156,1.9904674947261811,0.52
1.6301558531247653,0.8746154,1.9809003293514251,0.545
1.6137880462866563,0.88,1.9825240790843963,0.54
1.5921956126506511,0.9023077,1.962309443950653,0.55
1.5769428519102244,0.9146154,1.9535578489303589,0.57
1.5642619233865005,0.93153846,1.9488888800144195,0.575
1.5514021249917838,0.9430769,1.9607265889644623,0.585
1.5404153493734507,0.9469231,1.9454209923744201,0.595
1.5332122050798855,0.9530769,1.942766672372818,0.595
1.527549147605896,0.96,1.9322725653648376,0.62
1.5188995434687689,0.96076924,1.9323198199272156,0.615
1.5153990204517658,0.9646154,1.9327984750270844,0.615
1.5099291544694167,0.9684615,1.9322558701038361,0.605
1.5086555361747742,0.9707692,1.935363245010376,0.605
1.5064253660348745,0.9723077,1.93934725522995,0.605
1.5019963557903584,0.97615385,1.9306580066680907,0.605
1.4988506867335394,0.9776923,1.9389725506305695,0.58
1.4958870328389682,0.9776923,1.929075539112091,0.615
1.49437870154014,0.97923076,1.9260324895381928,0.615
1.4929186234107383,0.9815385,1.9252001762390136,0.615
1.4894705112163837,0.98307693,1.9177730619907378,0.62
1.488985475210043,0.9838461,1.909382313489914,0.63
1.4859974439327532,0.98615384,1.9184377312660217,0.615
1.487241412126101,0.9869231,1.9123749077320098,0.625
1.483147826561561,0.98846155,1.9203589022159577,0.61
1.4794826186620271,0.9930769,1.9209094285964965,0.62
1.4775883078575134,0.9930769,1.913421982526779,0.61
1.4760041640355037,0.9946154,1.911850780248642,0.615
1.4730027804007897,0.9976923,1.9095842778682708,0.615
1.471512976059547,0.99923074,1.9074307203292846,0.615
1.4702736359376174,0.99923074,1.911284726858139,0.62
1.4699395042199355,1.0,1.9066082656383514,0.61
1.4686907062163719,1.0,1.9011798560619355,0.62
1.4686477129275983,1.0,1.907718676328659,0.6
1.4675551194411058,1.0,1.9007081627845763,0.625
1.4673875322708716,1.0,1.9005269587039948,0.635
1.4670256963142982,1.0,1.8966341137886047,0.65
1.4667413867436923,1.0,1.8909705877304077,0.64
1.4663365125656127,1.0,1.8929574847221375,0.64
1.46610881456962,1.0,1.895394653081894,0.625
1.4662060444171612,1.0,1.8970973253250123,0.62
1.4656747652934148,1.0,1.8975283980369568,0.62
1.4658516727961026,1.0,1.8982810854911805,0.625
1.46598090666991,1.0,1.9057694911956786,0.62
1.465660124558669,1.0,1.9013842701911927,0.625
