loss,accuracy,val_loss,val_accuracy
2.3006048019115743,0.10769231,2.304082715511322,0.1
2.2941574115019576,0.12538461,2.293988215923309,0.115
2.273025454007662,0.15846154,2.2492909371852874,0.23
2.255499373949491,0.17769231,2.2547344148159025,0.175
2.2159193726686333,0.23153846,2.195158588886261,0.275
2.198905703654656,0.25153846,2.2406495988368986,0.22
2.1813006492761464,0.2753846,2.155070561170578,0.3
2.165282465861394,0.28692308,2.197514271736145,0.255
2.1368408111425548,0.32538462,2.2164380967617037,0.25
2.1131987168238715,0.35846153,2.162902158498764,0.29
2.0916304735036997,0.3776923,2.201308012008667,0.25
2.0627100917009207,0.40384614,2.1717625498771667,0.275
2.0528744092354407,0.42,2.095671206712723,0.37
2.0035972705254186,0.47,2.1688752830028535,0.295
2.0037142927830036,0.47076923,2.1617382168769836,0.275
1.984072064436399,0.48,2.195150005817413,0.26
1.954806527724633,0.53846157,2.0753507733345034,0.38
1.948636046739725,0.52307695,2.107408791780472,0.37
1.9192238303331228,0.5576923,2.1285479724407197,0.35
1.9144292519642756,0.5576923,2.0570426404476168,0.41
1.8975965811656073,0.57076925,2.0115653216838836,0.465
1.8744762209745554,0.61538464,1.9942642092704772,0.475
1.881573644051185,0.5984615,2.0832988381385804,0.36
1.851119301869319,0.63,2.078396338224411,0.355
1.8314352026352516,0.64615387,2.0117723882198333,0.445
1.8115932904756986,0.6776923,2.067900276184082,0.35
1.808821508517632,0.6669231,2.052937835454941,0.41
1.7969660392174354,0.6876923,2.0664320945739747,0.385
1.7887332017605122,0.6953846,1.966127723455429,0.495
1.7592199463110703,0.7192308,1.9751650869846344,0.485
1.7497115896298334,0.7338461,1.9297129213809967,0.54
1.7401400969578669,0.7430769,1.9549578547477722,0.535
1.7294523642613338,0.7476923,1.9325686931610107,0.545
1.7061009471233075,0.7792308,1.8879427313804626,0.61
1.6990948227735667,0.7807692,1.90086590051651,0.58
1.6880430835943956,0.79615384,1.8909330189228057,0.605
1.6825719686654899,0.79307693,1.8550455033779145,0.625
1.6660145236895634,0.81461537,1.86961989402771,0.605
1.676821024601276,0.79923075,1.8494393944740295,0.635
1.6608047329462492,0.82,1.810535442829132,0.68
1.6488493983562176,0.83076924,1.8242189288139343,0.655
1.6380444517502417,0.8453846,1.8146395981311798,0.65
1.6284329487727238,0.8553846,1.8188551008701324,0.635
1.6348980582677402,0.84384614,1.8321649074554442,0.645
1.6154203900924096,0.8646154,1.873664563894272,0.6
1.6164095860261183,0.86538464,1.7938769280910491,0.69
1.60991697036303,0.86615384,1.828995507955551,0.64
1.6028775829535264,0.8730769,1.8177369117736817,0.645
1.6043022137421827,0.8669231,1.8070472836494447,0.68
1.5864684361677903,0.8823077,1.8130021750926972,0.665
1.5830044883948107,0.89,1.8627022445201873,0.585
1.5774891880842357,0.89384615,1.8097726285457612,0.655
1.5758540006784292,0.8992308,1.8507067263126373,0.615
1.5719445778773382,0.90307695,1.84205042719841,0.615
1.5771347559415376,0.8946154,1.8230540871620178,0.645
1.5700579652419457,0.90076923,1.8222606182098389,0.64
1.5618454493009126,0.9123077,1.8082842588424684,0.655
1.5632922961161686,0.9046154,1.8038280844688415,0.66
1.5654418734403757,0.9076923,1.8027833819389343,0.67
1.5700231011097248,0.90307695,1.8067031621932983,0.645
1.552442218707158,0.91615385,1.7949130415916443,0.67
1.5471975354047922,0.92615384,1.7939311981201171,0.685
1.5558102910335248,0.9153846,1.7920457422733307,0.665
1.5590920778421256,0.9123077,1.7930858373641967,0.675
1.5497963080039392,0.91615385,1.8095429301261903,0.665
1.5461563761417683,0.92230767,1.7870971441268921,0.685
1.5401070603957543,0.92923075,1.8097841799259187,0.655
1.5411815881729125,0.9246154,1.774634099006653,0.695
1.5409938564667336,0.92538464,1.7713991582393647,0.72
1.547472697037917,0.91923076,1.7483657538890838,0.74
1.5300848291470455,0.9376923,1.8056443572044372,0.65
1.5499583510252146,0.92230767,1.78361776471138,0.675
1.5293494114508996,0.9376923,1.8101221740245819,0.65
1.53146461890294,0.9369231,1.8015844106674195,0.66
1.5213254479261544,0.9453846,1.7797254145145416,0.7
1.520756920484396,0.95153844,1.7765950977802276,0.69
1.5188768331821147,0.95,1.8148174941539765,0.65
1.5131912488203783,0.95615387,1.813347589969635,0.64
1.5036337614059447,0.9646154,1.833616352081299,0.615
1.5120702266693116,0.9553846,1.787084513902664,0.69
1.5094160960270808,0.96153843,1.8156077563762665,0.635
1.5032298509891218,0.9646154,1.8123606503009797,0.62
1.5069698526309088,0.96307695,1.8035756468772888,0.64
1.5072383898955124,0.96076924,1.8452455163002015,0.635
1.4998236481960003,0.96692306,1.8137935876846314,0.66
1.5039069129870488,0.96153843,1.7940792262554168,0.67
1.502377436711238,0.96307695,1.78322793841362,0.665
1.4991786140661973,0.9684615,1.757785701751709,0.725
1.4992502230864304,0.96692306,1.7656384587287903,0.705
1.4928134212127098,0.9746154,1.792679637670517,0.66
1.4900555482277504,0.9776923,1.77682221531868,0.685
1.4956075163987967,0.97,1.7559025168418885,0.72
1.4895670707409199,0.97923076,1.7751576602458954,0.7
1.491621525471027,0.97384614,1.771431916952133,0.69
1.4875207314124475,0.97923076,1.773288869857788,0.69
1.4953755901410029,0.9723077,1.7616240799427032,0.705
1.4952526275928204,0.9723077,1.7545669198036193,0.715
1.4966632953056922,0.9715385,1.7549530625343324,0.745
1.4909828222714938,0.9753846,1.7830606639385223,0.67
1.4866426733823923,0.9776923,1.7669384360313416,0.69
1.486813483788417,0.97692305,1.7599318742752075,0.705
1.4873248127790597,0.97846156,1.7774371385574341,0.68
1.4900368415392362,0.9746154,1.757455575466156,0.72
1.4870836129555336,0.97846156,1.7414572596549989,0.745
1.4786839274259713,0.9876923,1.7646669089794158,0.7
1.4825913630999052,0.9823077,1.718683475255966,0.75
1.4809255930093619,0.9846154,1.767497903108597,0.705
1.480485382446876,0.98307693,1.7844900012016296,0.68
1.4857727197500377,0.97923076,1.7651488482952118,0.71
1.4760058549734263,0.98846155,1.7427296698093415,0.735
1.475380726960989,0.98923075,1.737457275390625,0.745
1.483808159828186,0.9776923,1.7491757690906524,0.73
1.4848251608701852,0.9815385,1.729372602701187,0.74
1.4827156947209286,0.98615384,1.7339262902736663,0.745
1.4842741186802204,0.97923076,1.728669321537018,0.745
1.4735368095911465,0.99153847,1.732109397649765,0.75
1.4748898203556353,0.98923075,1.7662091374397277,0.695
1.4743139422856844,0.9907692,1.751460725069046,0.715
1.4778559336295494,0.98615384,1.7702844977378844,0.69
1.4775932357861445,0.9846154,1.7602617025375367,0.705
1.4730450281730065,0.99230766,1.763869547843933,0.71
1.476245475732363,0.98923075,1.7390722393989564,0.735
1.4740105931575482,0.99153847,1.754017972946167,0.715
1.4779782900443443,0.9838461,1.7036834061145782,0.76
1.477355317886059,0.98538464,1.752273052930832,0.705
1.478189338170565,0.9869231,1.7407420814037322,0.74
1.4780152971927936,0.98538464,1.6842722773551941,0.79
