loss,accuracy,val_loss,val_accuracy
2.302089733343858,0.10538462,2.301502895355225,0.11
2.2824265094903797,0.14461538,2.2968334913253785,0.145
2.260285819493807,0.17615385,2.3120086252689362,0.11
2.2281862240571244,0.22,2.3375857889652254,0.1
2.214206454387078,0.23230769,2.2672075033187866,0.15
2.1849354239610523,0.25538462,2.2657280445098875,0.16
2.1492150866068327,0.30307692,2.295623803138733,0.13
2.1278447912289544,0.32692307,2.2148148834705355,0.25
2.099257319707137,0.35846153,2.31848823428154,0.125
2.076900777449975,0.39307693,2.2134652137756348,0.265
2.0554897005741415,0.41846153,2.204002285003662,0.265
2.0547922978034387,0.41153845,2.2111090183258058,0.255
2.0450728563161995,0.42384616,2.1818039774894715,0.28
2.0102320808630725,0.46923077,2.157298183441162,0.315
1.9973476639160743,0.46923077,2.25114888548851,0.18
2.0046343189019424,0.47384617,2.1712911128997803,0.28
1.987796924664424,0.4823077,2.1264471769332887,0.335
1.9765844831099877,0.49384615,2.1681830823421477,0.28
1.963231436105875,0.5123077,2.1550801575183867,0.31
1.9374867934447069,0.5292308,2.191966474056244,0.245
1.9353742205179654,0.54307693,2.1700592815876005,0.285
1.9239989895087022,0.5476923,2.145849072933197,0.32
1.914235818386078,0.5546154,2.184954035282135,0.255
1.8876620384363028,0.5876923,2.084994649887085,0.375
1.886198586684007,0.59307694,2.1145762503147125,0.34
1.88121433533155,0.5892308,2.102760320901871,0.365
1.8719364349658674,0.6053846,2.083541601896286,0.39
1.8550374489564163,0.6261538,2.047655975818634,0.415
1.8364228927172148,0.6330769,2.052001190185547,0.395
1.838813202197735,0.6276923,2.1521227955818176,0.3
1.8247754968129672,0.65692306,2.072569155693054,0.39
1.8026115380800687,0.67,2.0508068442344665,0.405
1.7936437203333928,0.67923075,1.9985330760478974,0.475
1.7750181950055637,0.71,1.996928197145462,0.465
1.7807820567717918,0.69076926,2.0474576592445373,0.415
1.7533933373597952,0.72692305,2.034035587310791,0.43
1.753180627639477,0.7192308,1.993635094165802,0.475
1.7289840221405028,0.7592308,2.0825048267841337,0.375
1.726448667049408,0.74615383,1.9831467509269713,0.475
1.73870945251905,0.74,1.9735365033149719,0.5
1.710826309827658,0.76384616,1.9678991377353667,0.495
1.698457618860098,0.7753846,2.0101720094680786,0.46
1.6906897929998546,0.7876923,1.959864568710327,0.5
1.6858886645390436,0.78692305,1.9857869088649749,0.5
1.6912291380075308,0.7853846,1.972029346227646,0.47
1.6750937214264503,0.8,1.9921797513961792,0.455
1.6637916409052336,0.81,1.9510254859924316,0.51
1.6676137960874118,0.80538464,1.9594258964061737,0.485
1.6545073234117949,0.81846154,1.9645854532718658,0.5
1.6438444018363954,0.8346154,1.9347816586494446,0.505
1.65141873726478,0.8292308,1.9184853255748748,0.545
1.655686372060042,0.82076925,1.9701884984970093,0.485
1.6325905763185942,0.8376923,1.9318086862564088,0.515
1.6480075093416067,0.82076925,1.9608739733695983,0.49
1.6413147183564993,0.83153844,1.9354650855064393,0.525
1.6202651619911195,0.85307693,1.9662347972393035,0.475
1.6182413752262408,0.8507692,1.9647160112857818,0.5
1.6249683077518757,0.8446154,1.962804412841797,0.485
1.6121334094267625,0.8630769,1.9343121647834778,0.535
1.6033526200514574,0.87,1.9174001514911652,0.53
1.6031980266937842,0.8730769,1.896450138092041,0.565
1.6045427386577313,0.86615384,1.9027219712734222,0.555
1.5935114319507893,0.88076925,1.915682816505432,0.535
1.5967014340253978,0.8769231,1.8776639759540559,0.59
1.5854197126168472,0.8892308,1.917143416404724,0.54
1.5981846671838027,0.8746154,1.9223070323467255,0.525
