loss,accuracy,val_loss,val_accuracy
2.3052212256651656,0.08846154,2.3044586062431334,0.075
2.3033425037677473,0.10538462,2.3035044431686402,0.105
2.3025177992307224,0.10461538,2.307020056247711,0.07
2.306329220991868,0.092307694,2.304789352416992,0.11
2.3025663192455585,0.09615385,2.3019169211387633,0.1
2.3007783541312583,0.10307692,2.298532044887543,0.11
2.303383700664227,0.09846154,2.299374580383301,0.115
2.3018354801031258,0.11769231,2.306937026977539,0.085
2.300766998070937,0.11769231,2.3024778842926024,0.085
2.301116411502545,0.1,2.303124284744263,0.1
2.2992387899985682,0.11153846,2.302659475803375,0.08
2.2962439757127027,0.13384615,2.3042601704597474,0.1
2.2981920352348912,0.12538461,2.3024603009223936,0.1
2.300904519741352,0.11461539,2.3059879183769225,0.08
2.2973189445642324,0.13307692,2.3023603558540344,0.1
2.2990758382357086,0.11384615,2.307339084148407,0.085
2.296241780427786,0.13384615,2.3025185465812683,0.1
2.2952680899546696,0.12923077,2.297813391685486,0.115
2.296162144954388,0.13153847,2.300265347957611,0.11
2.292716383934021,0.14307693,2.3050612092018126,0.085
2.297126603126526,0.12692308,2.3024245858192445,0.1
2.290755763420692,0.14846154,2.3071425676345827,0.085
2.2904944896697996,0.15230769,2.3050606727600096,0.085
2.291684420292194,0.14615385,2.3012643814086915,0.125
2.2905515670776366,0.14769231,2.3027310729026795,0.1
2.2902225787823016,0.14615385,2.30239942073822,0.11
2.291168108353248,0.13923077,2.303533101081848,0.09
2.284909235514127,0.17,2.294056248664856,0.125
2.288683607028081,0.14384615,2.3047331094741823,0.1
2.284312972655663,0.17230769,2.318265748023987,0.07
2.2837790599236123,0.17307693,2.2984142780303953,0.125
2.2783769882642306,0.17846154,2.3126981973648073,0.09
2.2802525960482085,0.1676923,2.3085975289344787,0.1
2.281583600777846,0.16615385,2.2986209750175477,0.115
2.27949731533344,0.17,2.3155208826065063,0.08
2.277062674669119,0.17461538,2.3034342408180235,0.12
2.2782777126018816,0.17384616,2.306426000595093,0.1
2.2755465910984918,0.18076923,2.296487843990326,0.13
2.27318489918342,0.17923076,2.305636441707611,0.12
2.2707713677332952,0.18230769,2.2995670795440675,0.125
2.2701856228021473,0.17538461,2.307799255847931,0.1
2.270931808765118,0.18769231,2.3086497306823732,0.09
2.262921056380639,0.19923078,2.3168796420097353,0.085
2.26538145175347,0.19923078,2.3006602048873903,0.105
2.257218179335961,0.21692307,2.3056528210639953,0.11
2.2539135676163893,0.22384615,2.2932603120803834,0.15
2.2543558285786554,0.20692308,2.2952373027801514,0.16
2.254416586802556,0.21307692,2.2988790035247804,0.125
2.246963200202355,0.22384615,2.3019323468208315,0.105
2.247821149459252,0.22461538,2.3056697726249693,0.13
2.2473245235589836,0.21846154,2.295952796936035,0.11
2.247524287150456,0.20846154,2.291784393787384,0.115
2.24205385354849,0.23615384,2.308244729042053,0.12
2.2348078947800856,0.2423077,2.2939529418945312,0.11
2.234112044481131,0.2423077,2.3145253658294678,0.09
2.2301376764590923,0.23846154,2.3035484671592714,0.135
2.219500330778269,0.24615385,2.2910760402679444,0.11
2.220460240657513,0.25923076,2.297805368900299,0.085
2.2164636960396398,0.25230768,2.293104720115662,0.12
2.214438906999735,0.2530769,2.27691890001297,0.13
2.2097664741369396,0.26,2.290396511554718,0.135
2.2068438154000503,0.27,2.2901084661483764,0.135
2.203382840523353,0.2623077,2.284768486022949,0.135
2.194489687222701,0.29307693,2.266674828529358,0.17
2.1943547716507545,0.27846155,2.270050919055939,0.15
2.1849681955117446,0.28692308,2.2672797083854674,0.16
2.186427817894862,0.28538463,2.2683292746543886,0.15
2.18257571550516,0.29,2.281034791469574,0.15
2.1722698560127847,0.31384614,2.2539023995399474,0.175
2.1759860607293935,0.29923075,2.2483686089515684,0.185
2.1662504287866446,0.31846154,2.271144711971283,0.13
2.1628791607343234,0.32923076,2.24915691614151,0.21
2.146275275487166,0.34,2.25412358045578,0.175
2.154944747227889,0.32307693,2.268601882457733,0.145
2.147648346424103,0.33692306,2.252854359149933,0.18
2.134681015748244,0.3523077,2.2230180501937866,0.195
2.135520887374878,0.36615384,2.260078823566437,0.165
2.13183412368481,0.35846153,2.2348607420921325,0.2
2.1278464519060574,0.36923078,2.213196557760239,0.215
2.1211256889196544,0.37384614,2.247132730484009,0.175
2.122509724360246,0.36692306,2.2452370047569277,0.185
2.110247960457435,0.38076922,2.2385297656059264,0.195
2.098235683257763,0.39615384,2.2492820858955382,0.18
2.099437821828402,0.40384614,2.2222589671611788,0.205
2.0866127903644855,0.42,2.23422132730484,0.2
2.091393823807056,0.4069231,2.207306516170502,0.235
2.0806114031718326,0.41,2.226465332508087,0.19
2.0721477233446564,0.43307692,2.22776061296463,0.235
2.077913168760446,0.42461538,2.235530138015747,0.195
2.068967030598567,0.43307692,2.2263595938682554,0.19
2.0627182520352876,0.43307692,2.241051995754242,0.18
2.0658199502871586,0.43307692,2.232319438457489,0.21
2.0606038570404053,0.4376923,2.2274341583251953,0.215
2.053079291490408,0.44846153,2.209660089015961,0.225
2.0406704334112313,0.46923077,2.2079160451889037,0.23
2.041102258058695,0.45923078,2.2305870056152344,0.195
2.0381667705682607,0.45846155,2.2342087388038636,0.195
2.037287605725802,0.46,2.2035330176353454,0.245
2.0212523735486543,0.49076924,2.2139553666114806,0.245
2.0204704844034636,0.4853846,2.1998828411102296,0.265
2.008300948143005,0.50153846,2.2190425634384154,0.205
2.0044718192173883,0.50846153,2.188594102859497,0.235
2.0008947821763847,0.5030769,2.2373933672904966,0.175
2.004881717608525,0.50384617,2.1921322345733643,0.235
1.9945620921941905,0.51,2.204703712463379,0.21
1.9817741375703077,0.52153844,2.2247634172439574,0.185
1.9848507239268376,0.52076924,2.191914463043213,0.225
1.9756280532250037,0.52153844,2.2076377749443052,0.205
