loss,accuracy,val_loss,val_accuracy
2.3023074058385995,0.10461538,2.298800230026245,0.105
2.2910825600990883,0.12692308,2.2999754667282106,0.135
2.2778904162920437,0.14846154,2.2965436697006227,0.1
2.2642640590667726,0.16923077,2.2881298422813416,0.145
2.243611212877127,0.1923077,2.301109719276428,0.135
2.225494041809669,0.22153845,2.2587499618530273,0.18
2.215793521587665,0.23076923,2.2475296914577485,0.205
2.2050324109884407,0.24384615,2.222491240501404,0.25
2.180561937735631,0.2723077,2.2357891499996185,0.25
2.155432805648217,0.29307693,2.194541943073273,0.275
2.1564220080008876,0.29384616,2.2067500770092012,0.28
2.1496630219312816,0.2976923,2.1949686467647553,0.26
2.126645602629735,0.33692306,2.2253034353256225,0.215
2.117534872201773,0.33307692,2.1708498537540435,0.295
2.1099637618431677,0.34615386,2.200680619478226,0.24
2.1141398292321427,0.33846155,2.1977165818214415,0.24
2.0948010683059692,0.36461538,2.179956376552582,0.285
2.0948405522566573,0.3653846,2.2082063436508177,0.225
2.086019894709954,0.37384614,2.174289679527283,0.3
2.082216789172246,0.37923077,2.1494826853275297,0.32
2.0858552043254557,0.37307692,2.156644320487976,0.295
2.0834909576636096,0.37846154,2.1679909408092497,0.295
2.0855367522973283,0.36769232,2.165084791183472,0.295
2.066418181015895,0.3953846,2.1230955958366393,0.325
2.062553568986746,0.4069231,2.160066455602646,0.315
2.0588562837013833,0.41076922,2.1423368394374847,0.32
2.0557317642065196,0.41,2.0839997708797453,0.4
2.0506430470026458,0.40846154,2.1521340548992156,0.31
2.0386623529287484,0.42384616,2.068799686431885,0.41
2.03278507911242,0.4376923,2.1423990607261656,0.315
2.0283940544495214,0.43461537,2.103782904148102,0.34
2.0293652589504534,0.43384615,2.140676712989807,0.32
2.034334991528438,0.42846155,2.0992258369922636,0.37
2.021489011324369,0.44,2.0876411378383635,0.375
2.009192070594201,0.4553846,2.145654112100601,0.295
2.0052102859203633,0.45,2.1036972880363463,0.345
2.0072055064714873,0.45,2.0898923337459565,0.38
1.997034793633681,0.4823077,2.0960994243621824,0.36
1.9916108030539292,0.47923076,2.065431088209152,0.39
1.9768891646311832,0.4953846,2.090253305435181,0.38
1.9766853249990024,0.49769232,2.130882626771927,0.32
1.9638821253409753,0.50461537,2.049758243560791,0.43
1.961932439987476,0.50153846,2.0473442316055297,0.425
1.9561973039920513,0.5092308,2.065212827920914,0.395
1.9391666073065537,0.5323077,2.0691704988479613,0.365
1.9540875581594614,0.5023077,2.042801707983017,0.415
1.931548285484314,0.54615384,2.0401389718055727,0.44
1.9317149529090294,0.5307692,2.0764445185661318,0.39
1.9383217729054965,0.53,2.0498152792453768,0.415
1.9207823221500104,0.5530769,2.0031130194664,0.47
1.9003199421442472,0.57384616,2.0028798282146454,0.445
1.9049105616716238,0.5623077,1.975328516960144,0.5
1.8973356632085947,0.57769233,2.0218030154705047,0.43
1.910775588108943,0.5576923,2.0511857867240906,0.415
1.8867131150685823,0.5823077,2.038794922828674,0.415
1.883874314564925,0.58,2.022583317756653,0.44
1.8614310163718004,0.61846155,1.9808779776096344,0.48
1.849495082635146,0.62,1.9744043707847596,0.49
1.8492083485309894,0.6276923,2.0332690119743346,0.42
1.848781207891611,0.6269231,2.033387541770935,0.415
1.8315585035544175,0.6476923,1.9541266441345215,0.525
1.812473294368157,0.6623077,2.0290733695030214,0.435
1.8211823252531198,0.6553846,1.9744267463684082,0.5
1.796815672287574,0.67923075,1.9754112720489503,0.48
1.790017238030067,0.6846154,1.9546093225479126,0.49
1.7833015001737154,0.6876923,1.9551911354064941,0.52
